M=N=8,buffer_size=1,100000 matrices,reduced printing
Opt Level,0,1,2,3,
CPP,82.753,26.270,25.703,25.810
MLIR with Dynamic Schedule,10.903,6.023,6.023,5.753
MLIR with Static Schedule,5.663,4.670,4.570,3.253
C,33.516,4.563,4.616,4.593

M=N=8,buffer_size=3,100000 matrices,reduced printing
Opt Level,0,1,2,3,
CPP,83.440,28.643,26.783,26.190
MLIR with Dynamic Schedule,7.020,5.360,5.406,4.690
MLIR with Static Schedule,5.670,4.673,4.573,3.213
C,27.943,3.996,4.013,4.003


M=N=8,buffer_size=10,100000 matrices,reduced printing
Opt Level,0,1,2,3,
CPP,74.290,24.793,23.306,23.536
MLIR with Dynamic Schedule,7.016,5.553,5.756,4.733
MLIR with Static Schedule,5.666,4.750,4.660,3.233
C,24.826,3.700,3.716,3.696

M=N=16,buffer_size=1,10000 matrices,reduced printing
Opt Level,0,1,2,3,
CPP,66.383,29.263,24.163,24.006
MLIR with Dynamic Schedule,10.370,6.196,6.160,5.416
MLIR with Static Schedule,5.710,4.830,4.700,2.706
C,30.666,5.663,5.420,5.453

M=N=16,buffer_size=3,10000 matrices,reduced printing
Opt Level,0,1,2,3,
CPP,66.716,29.716,25.106,25.273
MLIR with Dynamic Schedule,7.580,4.666,4.563,3.770
MLIR with Static Schedule,5.710,4.780,4.723,2.713
C,23.833,5.043,5.223,5.200

M=N=16,buffer_size=10,10000 matrices,reduced printing
Opt Level,0,1,2,3,
CPP,58.276,24.886,21.886,22.536
MLIR with Dynamic Schedule,7.586,4.886,5.026,3.830
MLIR with Static Schedule,5.790,4.930,4.790,2.720
C,22.370,4.496,4.530,4.506

