application,backend,num_actors,num_cores,assignment_mode,other_parameters,num_experiments,avg_ms,min_ms,max_ms,last_line
idct,mlir,9,1,round-robin,,10,15389,15374,15470,"63 : 194"
idct,mlir,9,2,round-robin,,10,12022,11572,12823,"63 : 194"
idct,mlir,9,4,round-robin,,10,7586,7267,7918,"63 : 194"
idct,mlir,9,1,block,,10,15374,15370,15376,"63 : 194"
idct,mlir,9,2,block,,10,10559,10114,10871,"63 : 194"
idct,mlir,9,4,block,,10,6240,5866,6517,"63 : 194"
idct,streamblocks,9,1,round-robin,,10,4923,4877,4979,"63 : 194"
idct,streamblocks,9,2,round-robin,,10,3296,3222,3446,"63 : 194"
idct,streamblocks,9,4,round-robin,,10,2856,2828,2886,"63 : 194"
idct,streamblocks,9,1,block,,10,4912,4868,5013,"63 : 194"
idct,streamblocks,9,2,block,,10,4306,4242,4340,"63 : 194"
idct,streamblocks,9,4,block,,10,4376,4359,4420,"63 : 194"
idct,tycho,9,NA,NA,,10,13955,13832,14405,"63 : 194"
qrd,mlir,505,1,round-robin,,10,5821,5815,5867,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,2,round-robin,,10,3789,3714,3865,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,4,round-robin,,10,2407,2311,2463,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,1,block,,10,5836,5816,5867,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,2,block,,10,3524,3513,3565,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,4,block,,10,1962,1961,1963,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,1,round-robin,,10,15203,15063,15455,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,2,round-robin,,10,8621,8016,8839,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,4,round-robin,,10,4153,3872,4962,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,1,block,,10,15177,15020,15329,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,2,block,,10,11003,10890,11093,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,4,block,,10,5414,5330,5478,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,tycho,505,NA,NA,,10,6181,6150,6225,"Q9990: row 15: -2 35 55 -110 -62 -52 -140 135 80 41 -16 -46 38 24 51 16 "
fft,mlir,1284,1,round-robin,fft_size=256,10,267,267,269,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,2,round-robin,fft_size=256,10,220,220,221,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,4,round-robin,fft_size=256,10,175,174,176,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,1,block,fft_size=256,10,267,267,269,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,2,block,fft_size=256,10,170,169,171,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,4,block,fft_size=256,10,177,173,178,"Sum Re: 6, Sum Im: 2"
fft,mlir,2564,1,round-robin,fft_size=512,10,627,626,628,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,2,round-robin,fft_size=512,10,428,426,429,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,4,round-robin,fft_size=512,10,331,331,333,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,1,block,fft_size=512,10,635,625,690,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,2,block,fft_size=512,10,378,378,380,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,4,block,fft_size=512,10,231,228,233,"Sum Re: 79, Sum Im: 23"
fft,mlir,5124,1,round-robin,fft_size=1024,10,2260,2259,2268,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,2,round-robin,fft_size=1024,10,1489,1456,1510,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,4,round-robin,fft_size=1024,10,951,904,959,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,1,block,fft_size=1024,10,2259,2252,2304,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,2,block,fft_size=1024,10,1265,1250,1306,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,4,block,fft_size=1024,10,743,707,760,"Sum Re: 47, Sum Im: 3"
jpeg,mlir,29,1,custom,"pop=n push=n",10,2614,2608,2621,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=n push=n",10,1060,1060,1061,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,4,custom,"pop=n push=n",10,805,761,811,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,1,custom,"pop=n push=y",10,2578,2575,2587,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=n push=y",10,1005,961,1011,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,4,custom,"pop=n push=y",10,804,761,811,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,1,custom,"pop=y push=n",10,2478,2474,2485,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=y push=n",10,874,859,910,"Received 11000000 bytes, sum is 150174854"
