application,backend,num_actors,num_cores,assignment_mode,other_parameters,num_experiments,avg_ms,min_ms,max_ms,last_line
fft,mlir,1284,1,round-robin,fft_size=256,10,267,267,269,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,2,round-robin,fft_size=256,10,220,220,221,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,4,round-robin,fft_size=256,10,175,174,176,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,1,block,fft_size=256,10,267,267,269,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,2,block,fft_size=256,10,170,169,171,"Sum Re: 6, Sum Im: 2"
fft,mlir,1284,4,block,fft_size=256,10,177,173,178,"Sum Re: 6, Sum Im: 2"
fft,mlir,2564,1,round-robin,fft_size=512,10,627,626,628,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,2,round-robin,fft_size=512,10,428,426,429,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,4,round-robin,fft_size=512,10,331,331,333,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,1,block,fft_size=512,10,635,625,690,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,2,block,fft_size=512,10,378,378,380,"Sum Re: 79, Sum Im: 23"
fft,mlir,2564,4,block,fft_size=512,10,231,228,233,"Sum Re: 79, Sum Im: 23"
fft,mlir,5124,1,round-robin,fft_size=1024,10,2260,2259,2268,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,2,round-robin,fft_size=1024,10,1489,1456,1510,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,4,round-robin,fft_size=1024,10,951,904,959,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,1,block,fft_size=1024,10,2259,2252,2304,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,2,block,fft_size=1024,10,1265,1250,1306,"Sum Re: 47, Sum Im: 3"
fft,mlir,5124,4,block,fft_size=1024,10,743,707,760,"Sum Re: 47, Sum Im: 3"
