application,backend,num_actors,num_cores,assignment_mode,other_parameters,num_experiments,avg_ms,min_ms,max_ms,last_line
idct,mlir,9,1,round-robin,,10,15389,15374,15470,"63 : 194"
idct,mlir,9,2,round-robin,,10,12022,11572,12823,"63 : 194"
idct,mlir,9,4,round-robin,,10,7586,7267,7918,"63 : 194"
idct,mlir,9,1,block,,10,15374,15370,15376,"63 : 194"
idct,mlir,9,2,block,,10,10559,10114,10871,"63 : 194"
idct,mlir,9,4,block,,10,6240,5866,6517,"63 : 194"
idct,streamblocks,9,1,round-robin,,10,4923,4877,4979,"63 : 194"
idct,streamblocks,9,2,round-robin,,10,3296,3222,3446,"63 : 194"
idct,streamblocks,9,4,round-robin,,10,2856,2828,2886,"63 : 194"
idct,streamblocks,9,1,block,,10,4912,4868,5013,"63 : 194"
idct,streamblocks,9,2,block,,10,4306,4242,4340,"63 : 194"
idct,streamblocks,9,4,block,,10,4376,4359,4420,"63 : 194"
idct,tycho,9,NA,NA,,10,13955,13832,14405,"63 : 194"
