instance,actor,channel,out_type,cpu
source,Source,feed,i8,0
parse,ParseJPEG,feed,i8+i16,0
splitQT,SplitQT,feed,i8x3,0
huffman,Huffman420,feed,i24,1
fanout,Fanout_i16x5,feed,i16x5,0
splitter420,Splitter420,feed,i24x3,0
iq_Y,Dequant_mb4,Y,i13,0
scale,Scale,Y,i32,0
row,Scaled_1d_idct,Y,i32,0
transpose,Transpose,Y,i32,0
retranspose,Transpose,Y,i32,0
column,Scaled_1d_idct,Y,i32,0
shift,Rightshift,Y,i8,0
iq_Cr,Dequant_mb1,Cr,i13,0
scale,Scale,Cr,i32,0
row,Scaled_1d_idct,Cr,i32,0
transpose,Transpose,Cr,i32,0
retranspose,Transpose,Cr,i32,0
column,Scaled_1d_idct,Cr,i32,0
shift,Rightshift,Cr,i8,0
iq_Cb,Dequant_mb1,Cb,i13,0
scale,Scale,Cb,i32,0
row,Scaled_1d_idct,Cb,i32,0
transpose,Transpose,Cb,i32,0
retranspose,Transpose,Cb,i32,0
column,Scaled_1d_idct,Cb,i32,0
shift,Rightshift,Cb,i8,0
merger,Merger420,output,i8,0
display,Display,output,-,0
