application,backend,num_actors,num_cores,assignment_mode,other_parameters,num_experiments,avg_ms,min_ms,max_ms,last_line
jpeg,mlir,29,1,custom,"pop=n push=n",10,2606,2601,2618,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=n push=n",10,1054,1011,1061,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,4,custom,"pop=n push=n",10,557,334,611,""
jpeg,mlir,29,1,custom,"pop=n push=y",10,2577,2572,2592,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=n push=y",10,1005,961,1011,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,4,custom,"pop=n push=y",10,604,561,611,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,1,custom,"pop=y push=n",10,2493,2483,2510,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=y push=n",10,860,860,861,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,4,custom,"pop=y push=n",10,579,555,611,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,1,custom,"pop=y push=y",10,2438,2429,2447,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,2,custom,"pop=y push=y",10,810,810,811,"Received 11000000 bytes, sum is 150174854"
jpeg,mlir,29,4,custom,"pop=y push=y",10,579,559,611,"Received 11000000 bytes, sum is 150174854"
jpeg,streamblocks,29,1,custom,,10,301,299,310,"Received 11000000 bytes, sum is 150174854"
jpeg,streamblocks,29,2,custom,,10,246,243,259,"Received 11000000 bytes, sum is 150174854"
jpeg,streamblocks,29,4,custom,,10,195,193,198,"Received 11000000 bytes, sum is 150174854"
jpeg,tycho,29,NA,NA,,10,559,554,584,"Received 11000000 bytes, sum is 150174854"
