application,backend,num_actors,num_cores,assignment_mode,other_parameters,num_experiments,avg_ms,min_ms,max_ms,last_line
qrd,mlir,505,1,round-robin,,10,5821,5815,5867,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,2,round-robin,,10,3789,3714,3865,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,4,round-robin,,10,2407,2311,2463,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,1,block,,10,5836,5816,5867,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,2,block,,10,3524,3513,3565,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,mlir,505,4,block,,10,1962,1961,1963,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,1,round-robin,,10,15203,15063,15455,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,2,round-robin,,10,8621,8016,8839,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,4,round-robin,,10,4153,3872,4962,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,1,block,,10,15177,15020,15329,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,2,block,,10,11003,10890,11093,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,streamblocks,505,4,block,,10,5414,5330,5478,"Q9990: row 15: 113731 -107453 142149 -121691 -156936 -436748 -4 -8 5 -1 -8 -1 4 3 -4 -10 "
qrd,tycho,505,NA,NA,,10,6181,6150,6225,"Q9990: row 15: -2 35 55 -110 -62 -52 -140 135 80 41 -16 -46 38 24 51 16 "
