M,P,Command,Iteration,Time
2,10000000,./main_executable_from_cpp --generate=config.xml,0,3.44
2,10000000,./main_executable_from_cpp --generate=config.xml,1,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,2,3.43
2,10000000,./main_executable_from_cpp --generate=config.xml,3,3.49
2,10000000,./main_executable_from_cpp --generate=config.xml,4,3.44
2,10000000,./main_executable_from_cpp --generate=config.xml,5,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,6,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,7,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,8,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,9,3.45
2,10000000,./main_executable_from_cpp --generate=config.xml,10,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,11,3.45
2,10000000,./main_executable_from_cpp --generate=config.xml,12,3.42
2,10000000,./main_executable_from_cpp --generate=config.xml,13,3.42
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,0,44.84
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,1,44.64
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,2,44.18
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,3,44.19
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,4,46.24
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,5,44.02
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,6,49.91
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,7,50.55
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,8,44.51
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,9,51.87
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,10,46.25
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,11,46.55
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,12,53.12
2,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,13,44.44
3,10000000,./main_executable_from_cpp --generate=config.xml,0,7.79
3,10000000,./main_executable_from_cpp --generate=config.xml,1,7.04
3,10000000,./main_executable_from_cpp --generate=config.xml,2,7.01
3,10000000,./main_executable_from_cpp --generate=config.xml,3,6.99
3,10000000,./main_executable_from_cpp --generate=config.xml,4,7.01
3,10000000,./main_executable_from_cpp --generate=config.xml,5,7.02
3,10000000,./main_executable_from_cpp --generate=config.xml,6,7.10
3,10000000,./main_executable_from_cpp --generate=config.xml,7,7.00
3,10000000,./main_executable_from_cpp --generate=config.xml,8,7.13
3,10000000,./main_executable_from_cpp --generate=config.xml,9,7.07
3,10000000,./main_executable_from_cpp --generate=config.xml,10,7.01
3,10000000,./main_executable_from_cpp --generate=config.xml,11,7.09
3,10000000,./main_executable_from_cpp --generate=config.xml,12,7.06
3,10000000,./main_executable_from_cpp --generate=config.xml,13,7.27
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,0,45.07
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,1,45.67
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,2,53.94
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,3,58.06
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,4,45.28
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,5,50.41
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,6,50.73
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,7,33.74
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,8,53.66
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,9,44.05
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,10,53.02
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,11,47.75
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,12,50.07
3,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,13,53.55
4,10000000,./main_executable_from_cpp --generate=config.xml,0,12.09
4,10000000,./main_executable_from_cpp --generate=config.xml,1,12.25
4,10000000,./main_executable_from_cpp --generate=config.xml,2,12.19
4,10000000,./main_executable_from_cpp --generate=config.xml,3,12.15
4,10000000,./main_executable_from_cpp --generate=config.xml,4,12.21
4,10000000,./main_executable_from_cpp --generate=config.xml,5,12.24
4,10000000,./main_executable_from_cpp --generate=config.xml,6,12.20
4,10000000,./main_executable_from_cpp --generate=config.xml,7,12.18
4,10000000,./main_executable_from_cpp --generate=config.xml,8,12.22
4,10000000,./main_executable_from_cpp --generate=config.xml,9,12.20
4,10000000,./main_executable_from_cpp --generate=config.xml,10,12.28
4,10000000,./main_executable_from_cpp --generate=config.xml,11,12.21
4,10000000,./main_executable_from_cpp --generate=config.xml,12,12.15
4,10000000,./main_executable_from_cpp --generate=config.xml,13,12.16
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,0,47.46
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,1,71.00
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,2,16.88
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,3,80.49
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,4,80.18
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,5,79.15
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,6,79.92
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,7,80.23
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,8,80.04
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,9,79.26
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,10,80.22
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,11,80.00
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,12,80.66
4,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,13,79.71
5,10000000,./main_executable_from_cpp --generate=config.xml,0,18.34
5,10000000,./main_executable_from_cpp --generate=config.xml,1,18.21
5,10000000,./main_executable_from_cpp --generate=config.xml,2,18.16
5,10000000,./main_executable_from_cpp --generate=config.xml,3,18.40
5,10000000,./main_executable_from_cpp --generate=config.xml,4,18.22
5,10000000,./main_executable_from_cpp --generate=config.xml,5,18.33
5,10000000,./main_executable_from_cpp --generate=config.xml,6,18.20
5,10000000,./main_executable_from_cpp --generate=config.xml,7,18.97
5,10000000,./main_executable_from_cpp --generate=config.xml,8,18.23
5,10000000,./main_executable_from_cpp --generate=config.xml,9,18.18
5,10000000,./main_executable_from_cpp --generate=config.xml,10,19.24
5,10000000,./main_executable_from_cpp --generate=config.xml,11,18.36
5,10000000,./main_executable_from_cpp --generate=config.xml,12,18.24
5,10000000,./main_executable_from_cpp --generate=config.xml,13,18.32
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,0,42.78
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,1,54.53
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,2,56.54
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,3,56.80
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,4,56.70
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,5,55.77
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,6,56.74
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,7,58.35
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,8,53.68
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,9,56.78
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,10,59.44
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,11,55.95
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,12,44.22
5,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,13,57.27
6,10000000,./main_executable_from_cpp --generate=config.xml,0,25.90
6,10000000,./main_executable_from_cpp --generate=config.xml,1,25.74
6,10000000,./main_executable_from_cpp --generate=config.xml,2,25.76
6,10000000,./main_executable_from_cpp --generate=config.xml,3,25.66
6,10000000,./main_executable_from_cpp --generate=config.xml,4,25.58
6,10000000,./main_executable_from_cpp --generate=config.xml,5,25.64
6,10000000,./main_executable_from_cpp --generate=config.xml,6,25.55
6,10000000,./main_executable_from_cpp --generate=config.xml,7,25.62
6,10000000,./main_executable_from_cpp --generate=config.xml,8,28.47
6,10000000,./main_executable_from_cpp --generate=config.xml,9,25.78
6,10000000,./main_executable_from_cpp --generate=config.xml,10,25.65
6,10000000,./main_executable_from_cpp --generate=config.xml,11,25.61
6,10000000,./main_executable_from_cpp --generate=config.xml,12,25.75
6,10000000,./main_executable_from_cpp --generate=config.xml,13,26.15
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,0,32.39
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,1,52.76
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,2,53.74
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,3,58.80
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,4,55.68
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,5,60.98
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,6,44.93
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,7,46.84
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,8,62.76
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,9,64.46
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,10,64.45
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,11,51.74
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,12,43.22
6,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,13,51.86
7,10000000,./main_executable_from_cpp --generate=config.xml,0,34.50
7,10000000,./main_executable_from_cpp --generate=config.xml,1,34.48
7,10000000,./main_executable_from_cpp --generate=config.xml,2,34.54
7,10000000,./main_executable_from_cpp --generate=config.xml,3,34.48
7,10000000,./main_executable_from_cpp --generate=config.xml,4,34.81
7,10000000,./main_executable_from_cpp --generate=config.xml,5,34.93
7,10000000,./main_executable_from_cpp --generate=config.xml,6,34.46
7,10000000,./main_executable_from_cpp --generate=config.xml,7,34.36
7,10000000,./main_executable_from_cpp --generate=config.xml,8,35.01
7,10000000,./main_executable_from_cpp --generate=config.xml,9,34.37
7,10000000,./main_executable_from_cpp --generate=config.xml,10,34.68
7,10000000,./main_executable_from_cpp --generate=config.xml,11,34.70
7,10000000,./main_executable_from_cpp --generate=config.xml,12,34.70
7,10000000,./main_executable_from_cpp --generate=config.xml,13,34.68
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,0,40.23
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,1,46.72
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,2,55.21
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,3,52.28
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,4,48.05
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,5,51.66
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,6,48.34
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,7,56.46
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,8,52.14
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,9,51.13
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,10,58.67
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,11,64.38
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,12,54.73
7,10000000,taskset -c 0-3 ./main_executable_from_cpp --cfile=config_partitioned.xml,13,52.69
8,10000000,./main_executable_from_cpp --generate=config.xml,0,45.17
8,10000000,./main_executable_from_cpp --generate=config.xml,1,44.41
8,10000000,./main_executable_from_cpp --generate=config.xml,2,44.32
8,10000000,./main_executable_from_cpp --generate=config.xml,3,44.47
8,10000000,./main_executable_from_cpp --generate=config.xml,4,44.45
8,10000000,./main_executable_from_cpp --generate=config.xml,5,44.47
8,10000000,./main_executable_from_cpp --generate=config.xml,6,45.21
8,10000000,./main_executable_from_cpp --generate=config.xml,7,44.52
8,10000000,./main_executable_from_cpp --generate=config.xml,8,45.30
8,10000000,./main_executable_from_cpp --generate=config.xml,9,44.45
8,10000000,./main_executable_from_cpp --generate=config.xml,10,44.54
8,10000000,./main_executable_from_cpp --generate=config.xml,11,44.80
