benchmark,args,iterations,c_mean (ms),c_stddev (ms),cpp_mean (ms),cpp_stddev (ms),mlir_mean (ms),mlir_stddev (ms),mlir_multicore_mean (ms),mlir_multicore_stddev (ms),mlir_static_mean (ms),mlir_static_stddev (ms)
ping-pong,-O 3 ,6,2250.00,118.08,52371.33,765.44,1346.16,1.56,0,0,367.83,9.08
big,-M 6 -P 1000000 ,6,139.66,2.13,2587.83,21.34,270.83,.67,0,0,0,0
thread-ring,-O 2 ,6,1531.16,39.46,37866.00,783.68,1522.00,1,0,0,348.83,1.06
radix-sort,-O 3 ,6,403.16,9.44,2774.83,4.21,1149.33,4.38,0,0,0,0
trapezoid,-O 3 ,6,791.00,2.88,780.66,.74,485.16,9.78,0,0,480.66,.93
fork-join,-O 3 ,6,905.16,9.33,1080.50,42.59,834.66,.93,0,0,365.33,1.37
filter-bank,-O 3 ,6,364.83,3.52,3811.66,16.22,729.50,3.30,0,0,211.16,.36
counting-actor,-O 3 ,6,326.33,.73,426.00,1.41,337.66,10.01,0,0,0,0
bounded-buffer,-P 3 -C 3 -N 100000 ,6,3365.83,.36,3510.16,.67,3401.33,2.97,0,0,0,0
precise-pi,-O 3 ,6,1267.33,9.89,15998.00,158.52,3007.16,31.12,0,0,723.50,4.03
