Backend,Num Tests,Exec Time (s),RMS Error
MLIR-O0-CPU,5,90.1854,4.3808e-05
MLIR-O0-GPU,5,19.1032,4.3808e-05
MLIR-O1-CPU,5,78.3672,4.3808e-05
MLIR-O1-GPU,5,12.6708,4.3808e-05
MLIR-O2-CPU,5,76.9153,4.3808e-05
MLIR-O2-GPU,5,12.6549,4.3808e-05
MLIR-O3-CPU,5,76.7944,4.3808e-05
MLIR-O3-GPU,5,12.6492,4.3808e-05
MLIR-O0-CPU-m,5,55.1782,4.3808e-05
MLIR-O0-GPU-m,5,13.8806,4.3808e-05
MLIR-O1-CPU-m,5,41.3755,4.3808e-05
MLIR-O1-GPU-m,5,7.6297,4.3808e-05
MLIR-O2-CPU-m,5,40.7047,4.3808e-05
MLIR-O2-GPU-m,5,7.6151,4.3808e-05
MLIR-O3-CPU-m,5,40.8023,4.3808e-05
MLIR-O3-GPU-m,5,7.6215,4.3808e-05
PyTorch-CPU,5,75.8180,4.3808e-05
PyTorch-GPU,5,7.0600,4.3808e-05
CUDA-O0,5,3.4542,4.3808e-05
CUDA-O1,5,3.4428,4.3808e-05
CUDA-O2,5,3.4269,4.3808e-05
CUDA-O3,5,3.4288,4.3808e-05
