Backend,Size_1000000_Time(s),Size_1000000_RMS_Error,Size_1000000_GPU_MemCopy(ns),Size_1000000_GPU_Kernel(ns),Size_1000000_GPU_Total(ns),Size_3000000_Time(s),Size_3000000_RMS_Error,Size_3000000_GPU_MemCopy(ns),Size_3000000_GPU_Kernel(ns),Size_3000000_GPU_Total(ns),Size_10000000_Time(s),Size_10000000_RMS_Error,Size_10000000_GPU_MemCopy(ns),Size_10000000_GPU_Kernel(ns),Size_10000000_GPU_Total(ns)
pytorch |cpu,39.8967,1.8775e-05,N/A,N/A,0,184.3267,0,N/A,N/A,0,893.1967,0,N/A,N/A,0
cal-mlir|cpu,40.2061,1.8775e-05,N/A,N/A,0,124.8961,0,N/A,N/A,0,412.9366,0,N/A,N/A,0
cal-mlir|cpu|merged,21.0289,1.8775e-05,N/A,N/A,0,69.4053,0,N/A,N/A,0,234.0308,0,N/A,N/A,0
pytorch |gpu,4.3167,1.8775e-05,950497001,1689621076,2640118077,9.2300,0,2770302344,4896980066,7667282410,26.6467,0,9131039438,16194522832,25325562270
cuda |gpu,4.5745,1.8775e-05,5607813,3713725497,3719333310,13.1981,0,17305042,10840775481,10858080523,43.6497,0,60572617,36056264481,36116837098
cal-mlir|gpu,9.8073,1.8775e-05,4520572085,1050645643,5571217728,23.1293,0,14435216011,3100082847,17535298858,68.7916,0,48944143709,10341422415,59285566124
cal-mlir|gpu|hoisting,6.2547,1.8775e-05,4232547076,1211211645,5443758721,17.6420,0,12350308931,3556980658,15907289589,57.3653,0,40791701694,11751048641,52542750335
cal-mlir|gpu|async,9.4553,1.8775e-05,4622981650,1055553819,5678535469,22.7255,0,14527447136,3110508930,17637956066,68.6975,0,49089416622,10354401544,59443818166
cal-mlir|gpu|async&hoisting,5.9933,1.8775e-05,4235139357,1205003490,5440142847,17.3537,0,12350423805,3528535231,15878959036,57.0992,0,40769372075,11653174701,52422546776
cal-mlir|gpu|merged,5.6025,1.8775e-05,2193279195,985117638,3178396833,13.6615,0,6966603059,3062867924,10029470983,41.5686,0,24123001226,10332747263,34455748489
cal-mlir|gpu|merged&hoisted,3.8063,1.8775e-05,1892831527,1248649451,3141480978,10.6927,0,5504537754,3615032774,9119570528,34.9370,0,18178847869,11945103175,30123951044
